Library ID,Library ID Shortform,Polymer,Colour,Morphology,Source,Laser (nm),Grating ,Slit (um),Filter (%),Hole size (nm),Acq. Time (s),Accumulation,Delay (s)
Polycarbonate 1. Pink Fragment,PC 1,PC,Pink,Fragment,Lake Ontario Fish,532,1200,100,100,300,4,4,0
Polycarbonate 2. Clear Fragment,PC 2,PC,Clear,Fragment,Chesepeake Bay Stormwater,532,1200,100,100,300,4,8,0
Acrylic 1. Red Fiber (Polyacrylonitrile),Acrylic 1,Polyacrylonitrile,Red,Fiber  ,Calumet Park Sediment,785,600,100,100,300,4,4,0
Acrylic 2. Pink Fiber Bundle (Polyacrylonitrile),Acrylic 2,Polyacrylonitrile,Pink,Fiber Bundle,San Francisco Stormwater,785,600,100,100,300,4,4,0
Acrylic 3. Brown Fiber (Polyacrylonitrile),Acrylic 3,Polyacrylonitrile,Brown,Fiber,San Francisco Fish,785,600,100,100,300,10,10,0
Polyethylene Terephthalate-co-Polycarbonate 1. Red Fragment,PET-co-PC 1,PET:PC copolymer,Red,Fragment,San Francisco Stormwater,785,600,100,100,300,10,10,0
Polyethylene-co-Polypropylene 1. Grey Fragment,PE-co-PP 1,PE-co-PP,Grey,Fragment,San Francisco Stormwater,532,1200,100,25,300,4,10,0
Polyethylene-co-Polypropylene 2. Blue Fragment,PE-co-PP 2,PE-co-PP,Blue,Fragment,San Francisco Stormwater,532,1200,100,25,300,4,4,0
Polyethylene-co-Polypropylene 3. Blue Fragment,PE-co-PP 3,PE-co-PP,Blue,Fragment,San Francisco Stormwater,532,1200,100,25,300,6,6,0
Polysulfone 1. Blue Fragment,Polysulfone 1,Polysulfone,Blue,Fragment,Lake Ontario Fish,785,600,100,100,300,10,10,0
Polystyrene-co-Polyvinyl Chloride 1. Clear Film,PS-co-PVC 1,PS-PVC,Clear,Film,Lake Ontario Agriculture Watershed,532,1200,50,50,300,5,10,30
Polybutylene Terephthalate 1. Pink Fragment,PBT 1,PBT,Pink,Fragment,San Francisco Stormwater,532,1200,100,100,300,4,4,0
